gini,top1_share,top5_share,hhi,effective_authors,n_authors,total_likes,topic_id,topic_label,high_level_category,month_str,is_stable
0.3902038969486157,0.2699160091626368,0.2699160091626368,0.11308141890664151,8.843185818402105,18,7858.0,0,Vaccine Mandates & Work,vaccine,2021-03,True
0.6434346408189148,0.4914394419784401,0.4914394419784401,0.2762711058498253,3.6196329577208024,14,12616.0,0,Vaccine Mandates & Work,vaccine,2021-04,True
0.3753055380962358,0.1376492771841609,0.1376492771841609,0.08180112164552257,12.224771248656046,18,6364.0,0,Vaccine Mandates & Work,vaccine,2021-05,True
0.5053385416666667,0.5078125,0.5078125,0.33534942626953124,2.9819642488258427,6,2560.0,0,Vaccine Mandates & Work,vaccine,2021-06,False
0.5534806425801686,0.2979011509817197,0.2979011509817197,0.20445980777702247,4.8909368098916,11,7385.0,0,Vaccine Mandates & Work,vaccine,2021-07,True
0.539274086794748,0.4293227433723302,0.4293227433723302,0.22802948521509722,4.3853977877322015,12,9317.0,0,Vaccine Mandates & Work,vaccine,2021-08,True
0.7048051075268817,0.7938508064516129,0.7938508064516129,0.6358580336238293,1.5726780934116427,9,7936.0,0,Vaccine Mandates & Work,vaccine,2021-09,False
0.46978295937820796,0.20530869628977855,0.20530869628977855,0.09722046142261725,10.285900574499445,20,6819.0,0,Vaccine Mandates & Work,vaccine,2021-10,True
0.7107078196396241,0.6035003017501509,0.6035003017501509,0.39363417457139566,2.540429832061302,14,9942.0,0,Vaccine Mandates & Work,vaccine,2021-11,True
0.8480535850759896,0.7693846461600012,0.8540169572376014,0.6005479028315241,1.6651461028922065,24,64987.0,0,Vaccine Mandates & Work,vaccine,2021-12,True
0.5749362970994849,0.3567362428842505,0.3567362428842505,0.20865028571017072,4.792708510301622,14,13175.0,0,Vaccine Mandates & Work,vaccine,2022-01,True
0.4511517669303081,0.24766317807781418,0.24766317807781418,0.12335628115547947,8.106599766408248,15,12517.0,0,Vaccine Mandates & Work,vaccine,2022-02,True
0.37554355975408604,0.2399160293897136,0.2399160293897136,0.09472975506705807,10.556345250677698,20,13338.0,0,Vaccine Mandates & Work,vaccine,2022-03,True
0.6562256993146752,0.5915740666719962,0.5915740666719962,0.37851809132471387,2.641881650888238,11,12509.0,0,Vaccine Mandates & Work,vaccine,2022-04,True
0.5964411090414099,0.5444906147012466,0.5444906147012466,0.3141982289364973,3.1827041272155303,16,13958.0,0,Vaccine Mandates & Work,vaccine,2022-05,True
0.33607369618673616,0.22204279370205895,0.22204279370205895,0.12652038642470764,7.903864572806222,11,4954.0,0,Vaccine Mandates & Work,vaccine,2022-06,True
0.5258562469850458,0.5788712011577424,0.5788712011577424,0.384088916627049,2.603563801792806,6,3455.0,0,Vaccine Mandates & Work,vaccine,2022-07,False
0.5824555837563452,0.49968274111675126,0.49968274111675126,0.2735564469179185,3.655552670268645,15,12608.0,0,Vaccine Mandates & Work,vaccine,2022-08,True
0.6158083172679703,0.7573671164968329,0.7573671164968329,0.5930543096371473,1.6861862122068334,5,7262.0,0,Vaccine Mandates & Work,vaccine,2022-09,False
0.759495927531226,0.5740082526453405,0.5740082526453405,0.4257733666807801,2.348667338673021,11,48954.0,0,Vaccine Mandates & Work,vaccine,2022-10,True
0.48002988724358103,0.298306389530408,0.298306389530408,0.1351392800229465,7.399773032905022,17,10392.0,0,Vaccine Mandates & Work,vaccine,2022-11,True
0.7121662834889504,0.5630366443015999,0.5630366443015999,0.3512085836851253,2.847310818851017,15,21313.0,0,Vaccine Mandates & Work,vaccine,2022-12,True
0.4862517099863201,0.4331965344277246,0.4331965344277246,0.23402684597948661,4.273014045951181,10,8772.0,0,Vaccine Mandates & Work,vaccine,2023-01,True
0.6420658073270014,0.4396200814111262,0.4396200814111262,0.24066474780409045,4.155157783282972,16,18425.0,0,Vaccine Mandates & Work,vaccine,2023-02,True
0.5889115394119101,0.34840622683469236,0.34840622683469236,0.2083396041655104,4.799855524375356,12,26980.0,0,Vaccine Mandates & Work,vaccine,2023-03,True
0.6598735973171675,0.5288275506255643,0.5288275506255643,0.31631775030594833,3.1613780732595047,13,15506.0,0,Vaccine Mandates & Work,vaccine,2023-04,True
